Parcel_ID,Packaging_Type,Fill_Level,Handling_Stage,Humidity_Level,Stacking,Fragile_Label,Impact_Events,Dropped,Damaged
P0168,Envelope,Proper,Delivery,Low,Moderate,0,0,0,0
P0169,Polybag,Proper,Loading,Low,High,1,3,0,1
P0170,Crate,Proper,Delivery,High,High,1,3,0,1
P0171,Box,Proper,Loading,Medium,None,0,0,1,0
P0172,Envelope,Overfilled,Loading,Low,Moderate,0,1,0,0
P0173,Crate,Overfilled,Conveyor,Low,None,0,2,1,1
P0174,Crate,Proper,Transport,Low,None,0,0,1,1
P0175,Polybag,Proper,Sorting,Medium,None,1,2,0,0
P0176,Envelope,Proper,Conveyor,Medium,None,0,1,1,0
P0177,Envelope,Proper,Conveyor,Low,High,0,0,0,0
P0178,Box,Proper,Transport,Medium,High,0,2,0,0
P0179,Envelope,Proper,Sorting,Medium,None,0,4,0,0
P0180,Box,Overfilled,Delivery,Low,Moderate,0,2,1,0
P0181,Envelope,Proper,Delivery,Low,Moderate,1,0,1,0
P0182,Polybag,Proper,Conveyor,Medium,Moderate,0,1,0,0
P0183,Envelope,Underfilled,Sorting,High,Moderate,0,0,0,0
P0184,Box,Proper,Conveyor,Medium,None,0,2,0,0
P0185,Box,Underfilled,Loading,Medium,High,0,3,0,1
P0186,Polybag,Proper,Conveyor,Low,Moderate,0,4,0,0
P0187,Envelope,Proper,Conveyor,Medium,None,0,3,0,0
P0188,Envelope,Proper,Delivery,Medium,Moderate,1,3,0,0
P0189,Polybag,Proper,Delivery,Low,Moderate,0,2,0,0
P0190,Envelope,Underfilled,Delivery,Low,None,0,0,1,1
P0191,Envelope,Underfilled,Loading,Low,High,0,2,0,0
P0192,Box,Proper,Delivery,Low,High,0,4,0,1
P0193,Envelope,Proper,Sorting,Low,None,1,3,0,0
P0194,Envelope,Underfilled,Transport,Low,High,1,4,1,1
P0195,Polybag,Proper,Sorting,Low,None,0,1,1,0
P0196,Polybag,Proper,Sorting,Low,None,0,1,0,0
P0197,Crate,Underfilled,Delivery,High,None,0,1,0,0
P0198,Box,Proper,Transport,Medium,High,0,2,0,1
P0199,Envelope,Underfilled,Transport,Medium,None,0,1,0,0
